DATE,CLOSE
19310601,-16.7
19310630,-16.5
19310731,-16.2
19310831,-13.5
19310930,-14.7
19311102,-17.2
19311130,-18.1
19311231,-17.1
19320201,-15.6
19320229,-17.6
19320331,-20.0
19320502,-22.5
19320531,-28.1
19320630,-29.5
19320801,-30.2
19320831,-31.2
19320930,-26.6
19321031,-18.0
19321130,-11.9
19330102,-10.9
19330131,-12.1
19330228,-11.3
19330331,-8.5
19330501,-13.0
19330531,0.0
19330630,20.5
19330731,44.0
19330831,62.0
19331002,51.1
19331031,34.0
19331130,23.2
19340101,16.1
19340131,19.1
19340228,25.5
19340402,30.7
19340430,45.4
19340531,35.8
19340702,18.7
19340731,1.0
19340831,-14.0
19341001,-11.3
19341031,-11.4
19341130,-2.6
19341231,4.4
19350131,10.5
19350228,15.5
19350401,12.2
19350430,6.8
19350531,4.9
19350701,2.9
19350731,6.3
19350902,14.1
19350930,19.6
19351031,30.3
19351202,28.5
19351231,29.8
19360131,23.5
19360302,12.5
19360331,7.7
19360430,9.6
19360601,18.6
19360630,20.9
19360731,21.6
19360831,23.9
19360930,21.2
19361102,20.3
19361130,18.4
19361231,19.3
19370201,21.5
19370301,23.0
19370331,27.8
19370430,29.2
19370531,21.6
19370630,19.6
19370802,15.8
19370831,14.4
19370930,12.0
19371101,6.5
19371130,-2.8
19371231,-14.8
19380131,-24.7
19380228,-26.1
19380331,-27.7
19380502,-29.4
19380531,-30.6
19380630,-32.5
19380801,-30.9
19380831,-27.5
19380930,-23.1
19381031,-18.2
19381130,-9.5
19390102,4.4
19390131,15.9
19390228,18.6
19390331,20.5
19390501,21.0
19390531,22.8
19390630,25.2
19390731,26.9
19390831,23.7
19391002,19.1
19391031,22.6
19391130,25.7
19400101,23.9
19400131,22.5
19400229,21.0
19400401,16.3
19400430,13.2
19400531,15.9
19400701,19.8
19400731,20.8
19400902,18.8
19400930,17.8
19401031,13.4
19401202,9.6
19401231,9.3
19410131,13.1
19410228,17.4
19410331,24.8
19410430,31.7
19410602,29.4
19410630,31.4
19410731,28.3
19410901,28.3
19410930,29.0
19411031,26.3
19411201,25.7
19411231,23.4
19420202,21.2
19420302,20.7
19420331,19.3
19420430,17.0
19420601,13.4
19420630,8.7
19420731,8.2
19420831,9.5
19420930,11.5
19421102,14.1
19421130,16.7
19421231,18.9
19430201,19.8
19430301,18.5
19430331,19.5
19430430,19.0
19430531,24.1
19430630,24.7
19430802,23.7
19430831,24.5
19430930,23.3
19431101,23.6
19431130,21.5
19431231,20.2
19440131,15.9
19440229,16.2
19440331,14.1
19440501,13.1
19440531,11.7
19440630,10.2
19440731,10.4
19440831,7.0
19441002,6.1
19441031,2.8
19441130,1.6
19450101,-0.5
19450131,0.5
19450228,-1.6
19450402,-2.7
19450430,-3.2
19450531,-5.0
19450702,-7.0
19450731,-8.8
19450831,-10.7
19451001,-21.0
19451031,-27.6
19451130,-30.8
19451231,-27.6
19460131,-27.0
19460228,-30.4
19460401,-33.7
19460430,-26.2
19460531,-26.2
19460701,-27.0
19460731,-20.6
19460902,-16.0
19460930,-2.8
19461031,8.7
19461202,15.3
19461231,11.9
19470131,12.1
19470228,20.1
19470331,27.1
19470430,15.8
19470602,17.0
19470630,21.9
19470731,14.8
19470901,10.4
19470930,7.1
19471031,6.0
19471201,5.0
19471231,5.8
19480202,5.6
19480301,4.9
19480331,4.5
19480430,2.7
19480531,3.7
19480630,5.1
19480802,6.4
19480831,7.1
19480930,6.1
19481101,4.5
19481130,4.2
19481231,1.5
19490131,0.2
19490228,-1.3
19490331,-2.4
19490502,-3.2
19490531,-4.0
19490630,-6.9
19490801,-8.3
19490831,-8.4
19490930,-7.2
19491031,-5.6
19491130,-9.8
19500102,-6.2
19500131,-3.6
19500228,-1.0
19500331,0.4
19500501,5.7
19500531,9.8
19500630,14.0
19500731,17.6
19500831,21.6
19501002,24.2
19501031,22.2
19501130,27.8
19510101,24.3
19510131,24.2
19510228,22.5
19510402,22.8
19510430,19.4
19510531,15.8
19510702,12.8
19510731,9.0
19510831,4.0
19511001,-0.2
19511031,1.1
19511130,0.3
19511231,1.3
19520131,0.2
19520229,0.9
19520331,0.9
19520430,0.8
19520602,-0.3
19520630,-0.9
19520731,-1.4
19520901,-1.4
19520930,5.9
19521031,9.1
19521201,10.4
19521231,11.7
19530202,11.6
19530302,10.7
19530331,10.6
19530430,11.2
19530601,12.7
19530630,14.4
19530731,15.0
19530831,18.3
19530930,10.6
19531102,4.5
19531130,2.6
19531231,-1.8
19540201,-4.8
19540301,-5.8
19540331,-6.0
19540430,-7.3
19540531,-8.3
19540630,-8.2
19540802,-7.6
19540831,-8.6
19540930,-8.2
19541101,-6.1
19541130,-4.2
19541231,-0.3
19550131,3.5
19550228,6.7
19550331,7.7
19550502,10.9
19550531,12.9
19550630,14.0
19550801,13.8
19550831,14.6
19550930,14.6
19551031,15.2
19551130,15.7
19560102,14.2
19560131,13.1
19560229,11.3
19560402,9.0
19560430,6.5
19560531,6.0
19560702,3.4
19560731,2.4
19560831,-1.6
19561001,2.6
19561031,4.3
19561130,3.4
19561231,2.3
19570131,3.4
19570228,2.4
19570401,4.3
19570430,4.2
19570531,2.0
19570701,2.5
19570731,3.7
19570902,7.6
19570930,3.4
19571031,0.2
19571202,-2.1
19571231,-3.6
19580131,-6.8
19580228,-8.2
19580331,-11.0
19580430,-12.0
19580602,-12.3
19580630,-11.1
19580731,-9.0
19580901,-8.2
19580930,-6.4
19581031,-4.7
19581201,-2.1
19581231,3.2
19590202,5.4
19590302,8.9
19590331,13.5
19590430,16.6
19590601,21.0
19590630,21.7
19590731,18.7
19590831,14.1
19590930,8.1
19591102,7.0
19591130,5.0
19591231,2.6
19600201,8.8
19600229,10.0
19600331,7.0
19600502,4.5
19600531,1.5
19600630,-0.1
19600801,-1.5
19600831,0.6
19600930,4.0
19601031,3.0
19601130,3.7
19610102,1.6
19610131,-6.2
19610228,-8.5
19610331,-7.7
19610501,-6.3
19610531,-3.7
19610630,-2.1
19610731,0.6
19610831,2.1
19611002,3.1
19611031,4.1
19611130,6.2
19620101,9.4
19620131,12.5
19620228,11.4
19620402,13.4
19620430,13.3
19620531,11.3
19620702,9.5
19620731,7.7
19620831,7.5
19621001,6.7
19621031,7.4
19621130,5.5
19621231,4.4
19630131,3.5
19630228,5.1
19630401,4.6
19630430,4.7
19630531,5.4
19630701,6.8
19630731,7.4
19630902,5.9
19630930,6.0
19631031,6.4
19631202,7.0
19631231,7.1
19640131,6.9
19640302,7.1
19640331,6.6
19640430,5.9
19640601,6.7
19640630,6.0
19640731,6.0
19640831,7.1
19640930,7.6
19641102,6.9
19641130,4.7
19641231,7.4
19650201,8.9
19650301,9.1
19650331,9.0
19650430,10.5
19650531,9.2
19650630,9.4
19650802,10.0
19650831,10.3
19650930,10.0
19651101,9.9
19651130,12.5
19651231,9.6
19660131,9.7
19660228,9.6
19660331,9.6
19660502,9.7
19660531,9.4
19660630,9.6
19660801,9.2
19660831,8.8
19660930,8.4
19661031,9.2
19661130,8.8
19670102,7.6
19670131,6.5
19670228,6.0
19670331,4.1
19670501,2.1
19670531,2.9
19670630,1.1
19670731,0.6
19670831,-0.2
19671002,1.7
19671031,0.6
19671130,0.7
19680101,2.8
19680131,3.7
19680229,3.1
19680401,4.6
19680430,5.6
19680531,4.7
19680701,6.8
19680731,7.2
19680902,7.3
19680930,5.6
19681031,6.2
19681202,5.5
19681231,5.4
19690131,4.6
19690228,5.3
19690331,5.6
19690430,6.1
19690602,5.6
19690630,4.0
19690731,4.7
19690901,5.4
19690930,5.3
19691031,4.9
19691201,4.7
19691231,2.4
19700202,1.8
19700302,-0.7
19700331,-1.4
19700430,-2.3
19700601,-2.2
19700630,-1.9
19700731,-3.2
19700831,-3.4
19700930,-3.8
19701102,-4.5
19701130,-6.4
19701231,-6.1
19710201,-3.7
19710301,-1.1
19710331,-1.2
19710430,-1.2
19710531,-0.4
19710630,0.2
19710802,1.0
19710831,0.4
19710930,0.0
19711101,2.4
19711130,5.2
19711231,6.3
19720131,5.1
19720229,6.8
19720331,8.1
19720501,9.0
19720531,9.5
19720630,8.9
19720731,8.7
19720831,9.0
19721002,11.1
19721031,10.1
19721130,10.8
19730101,11.6
19730131,11.6
19730228,9.7
19730402,10.3
19730430,9.6
19730531,8.3
19730702,9.0
19730731,8.8
19730831,9.3
19731001,7.7
19731031,7.8
19731130,7.1
19731231,6.4
19740131,5.0
19740228,3.5
19740401,1.7
19740430,1.7
19740531,1.5
19740701,1.6
19740731,1.5
19740902,1.1
19740930,0.3
19741031,-0.6
19741202,-1.6
19741231,-5.3
19750131,-8.5
19750228,-9.1
19750331,-10.9
19750430,-11.9
19750602,-11.5
19750630,-12.4
19750731,-11.7
19750901,-10.9
19750930,-9.1
19751031,-8.0
19751201,-7.3
19751231,-3.9
19760202,0.9
19760301,3.8
19760331,7.3
19760430,8.5
19760531,9.0
19760630,9.8
19760802,9.1
19760831,8.7
19760930,8.3
19761101,7.3
19761130,6.9
19761231,8.2
19770131,7.9
19770228,5.8
19770331,6.4
19770502,7.6
19770531,8.0
19770630,8.4
19770801,9.2
19770831,8.7
19770930,8.0
19771031,8.2
19771130,8.4
19780102,6.9
19780131,6.0
19780228,5.1
19780331,4.0
19780501,4.7
19780531,5.9
19780630,5.4
19780731,5.3
19780831,5.1
19781002,5.5
19781031,5.3
19781130,5.9
19790101,6.6
19790131,7.0
19790228,7.8
19790402,7.9
19790430,6.2
19790531,2.9
19790702,3.3
19790731,2.6
19790831,2.5
19791001,1.4
19791031,1.3
19791130,1.0
19791231,0.1
19800131,-0.3
19800229,0.8
19800331,0.3
19800430,-0.4
19800602,-1.3
19800630,-4.4
19800731,-5.6
19800901,-6.2
19800930,-5.2
